case,a,b,true_retention,lower_retention,upper_retention,status
2525,0.09557073085781198,0.5770128798191803,0.0004303593005256987,0.0,1.0,indeterminate
2526,2.2008623853017486,21.675125459804704,0.7538318253568337,0.753545742715697,0.7540287597919549,underresolved
2527,0.8010000296027695,1.1134729311619047,0.18178961894721649,0.18086793825785338,0.18435392355619526,underresolved
2528,17.094652697699008,11.157369464745145,0.9909168319684549,0.9907398444954054,0.9910145097258864,resolved
2529,0.03484640500107017,18.599552417194136,4.217514667707326e-05,0.0,1.0,indeterminate
2530,0.042814265761835675,13.149222715430609,7.804052504423734e-05,0.0,1.0,indeterminate
2531,17.254464732129023,1.3969427414181532,0.8090521223065159,0.80873495207139,0.8093632205570518,underresolved
2532,30.854008192121913,15.785772338302126,0.9964290569682484,0.9962490634717127,0.9965191592973242,resolved
2533,1.2848948075085458,0.37282192974710265,0.17168785898327255,0.16680940531092733,0.17356636383313995,underresolved
2534,0.05940865813480643,11.65731445204343,0.0002078078783495045,0.0,1.0,indeterminate
2535,1.2438592919333196,0.19220381604184425,0.08935266304096055,0.08386700503532822,0.10543064741223983,underresolved
2536,0.698025193364089,9.310858320937069,0.1864453669398292,0.18440773206498207,0.18837960420877312,underresolved
2537,0.5918840298991005,1.9221092676052065,0.11722892854618243,0.1141609738455537,0.1200963464527058,underresolved
2538,4.000449578365017,2.7163089776787133,0.8568711618244279,0.8566728384862375,0.8570850625278827,underresolved
2539,14.61971825608314,0.6427244477422283,0.5369061931728736,0.5352090357746984,0.5373205869863399,underresolved
2540,0.18524618483048125,0.0491918673630156,0.0002969178732988525,0.0,1.0,indeterminate
2541,1.7584145997832192,1.248841547038445,0.5127170549707245,0.5119210021043156,0.5130111298190917,underresolved
2542,0.0412556153661017,25.490143727765798,6.9985397637961e-05,0.0,1.0,indeterminate
2543,0.1020620266786855,1.5849996242390356,0.0008852784460202593,0.0,0.8748620744259102,underresolved
2544,0.8063214811437042,3.0178588049080775,0.23475534695957478,0.2333309054723095,0.23626825659009815,underresolved
2545,3.704500895212202,0.2683069323776271,0.2331937944840948,0.2275201801659031,0.23883708191709055,underresolved
2546,3.8388182852735806,0.4069825223039028,0.34160473957252413,0.34018646112135387,0.34520571591230825,underresolved
2547,0.06512341154249927,4.788053620168749,0.00026864783783554,0.0,1.0,indeterminate
2548,17.597800119067255,0.3312554434400979,0.31293499867762936,0.3116596565949868,0.31903144440384845,underresolved
2549,0.5768798641345755,4.131159281142085,0.12126865800435158,0.11684977290105854,0.12297405678769548,underresolved
2550,1.3153920662821397,0.06871231497634837,0.03458376634933484,0.0,0.06623854200317532,underresolved
2551,1.8328757919875582,20.924287952226972,0.6757072722888002,0.675275707119999,0.6758769018652879,underresolved
2552,0.15930623634413082,0.3004808527808919,0.001120516034253631,0.0,0.1891549485221682,underresolved
2553,2.024744596889979,6.179028133297773,0.7115305807743398,0.7112270687164658,0.7117725785685968,underresolved
2554,0.23149343190783034,0.03250892743756555,0.0003727196794629655,0.0,1.0,indeterminate
2555,7.472182822714561,0.061224940537377995,0.059504744997112724,0.0,0.14031735647326365,underresolved
2556,0.6225651558819835,29.867226698202604,0.14754368748335303,0.14624425819413642,0.1513748956559584,underresolved
2557,21.320786079263815,0.03355695014700067,0.03342770768622677,0.0,0.1863523547775927,underresolved
2558,0.6329829639762318,7.527741997026327,0.1516613589704826,0.1490751314640929,0.15403193740760526,underresolved
2559,0.6978157649423573,1.0215480846801008,0.13391962704481097,0.13087985109584208,0.13553875600653426,underresolved
2560,10.985108801328463,1.9184089460295666,0.8758475075403983,0.8756909137740604,0.8761484568847618,underresolved
2561,3.1529741891064735,0.8389754662608424,0.5566610548892337,0.5557651667368599,0.5571797223227987,underresolved
2562,1.2088180075410453,2.809613871111206,0.43097426747828804,0.43031735522391795,0.43160671533947176,underresolved
2563,12.88709456814653,0.3644350689372985,0.3393362872100566,0.3346794512238386,0.34088886715455996,underresolved
2564,0.26565882765784476,17.795935875505478,0.016899068209980172,0.0,0.024221867631146064,underresolved
2565,0.2496779827667667,0.9543761497536415,0.009814182066532761,0.0,0.02983487656311514,underresolved
2566,0.07003155008573178,5.089647111941603,0.0003345563142075343,0.0,1.0,indeterminate
2567,2.775987114127731,6.975860859810582,0.8243268738894918,0.8241034682566365,0.8245090675536582,underresolved
2568,0.059278678152256424,0.04964859646893394,1.0275022318280324e-05,0.0,1.0,indeterminate
2569,0.25533906804598205,0.08044419303114249,0.0012142280957352742,0.0,0.2665659335946153,underresolved
2570,0.5417572477716692,0.4755749083382321,0.04642024251281415,0.04030270100876208,0.0506718495830481,underresolved
2571,0.811261811888516,14.268971239596075,0.2494509405114901,0.2475134429704661,0.2503455261013684,underresolved
2572,0.1916009656250218,12.523416996155893,0.00664242118246608,0.0,0.05882862778145522,underresolved
2573,0.1212934491323967,4.698557608623943,0.0017075675584356785,0.0,0.29337842933221747,underresolved
2574,12.088245428857777,0.1177173767910866,0.11572021588186748,0.04921900472757667,0.12594789586018484,underresolved
2575,0.9173861454580257,0.5909092234620512,0.1571633750323022,0.15631780969256706,0.16066433488550713,underresolved
2576,0.06085142493459053,5.582295420054839,0.00022056958903321234,0.0,1.0,indeterminate
2577,0.15782734344664667,0.04225799626231815,0.00015997052071184346,0.0,1.0,indeterminate
2578,7.354308377124326,14.450249762721871,0.9705724510708017,0.9704286630979738,0.9707141563055276,resolved
2579,15.621923859103093,0.2771421418103732,0.26544196101113154,0.2567393065001591,0.26744442611457464,underresolved
2580,7.7473288173006996,3.3084682988980214,0.9337965873014086,0.933640412506262,0.933980804288856,resolved
2581,0.03260663922899423,1.6688632412946396,2.9689828262321304e-05,0.0,1.0,indeterminate
2582,0.8318556599071489,7.0040153544347215,0.25892120997400336,0.2578603997940955,0.26054556243592525,underresolved
2583,0.26838968951958236,0.03501694717431441,0.0006095332733326508,0.0,0.7793796840862771,underresolved
2584,5.642309097414888,5.154921370278435,0.9371961665786968,0.9370881983749743,0.9374062753065456,resolved
2585,15.710875801707928,0.1916051316288558,0.18704412857964114,0.17052859357257694,0.19312024539765582,underresolved
2586,0.0694266080512927,0.32325980252414693,0.0001021915189672564,0.0,1.0,indeterminate
2587,0.08029864666146128,0.06800406742400932,3.4791306934646013e-05,0.0,1.0,indeterminate
2588,0.36611493944447826,5.8896209516749485,0.040062511169264875,0.034927005696675756,0.051630260169552133,underresolved
2589,1.3800471779482255,0.08619217445802962,0.04559618906751629,0.0,0.0872468229846492,underresolved
2590,8.233884661367492,0.05750638901610599,0.05616433543988927,0.0,0.1611223944550412,underresolved
2591,3.917778946656793,0.30618810910186983,0.26632526945752344,0.25979662320207614,0.2686082174465801,underresolved
2592,0.1329981049662161,2.583638136536191,0.0021369841073634235,0.0,0.04889127989414472,underresolved
2593,2.0059555772298934,0.04649792090420928,0.0332944991013931,0.0,0.08677497539550386,underresolved
2594,2.0761112043877366,0.18565932153733078,0.13348695562599236,0.12012933028654088,0.14400666538223306,underresolved
2595,3.8360096194366577,3.4048250769361874,0.8693643069192258,0.8692874434266298,0.8696717970264584,underresolved
2596,0.20674497714709794,0.032125651544231484,0.00026648123055346597,0.0,1.0,indeterminate
2597,0.2890567195705317,0.1410395569600104,0.002990455240944462,0.0,0.028993706363381822,underresolved
2598,3.223792521636829,2.9726880052154994,0.825798580080196,0.8256031789410638,0.8260341183908954,underresolved
2599,0.3201896794958069,0.42127598215959494,0.011008612012851329,0.00048606144240460685,0.025645960697832867,underresolved
2600,0.27967111645715254,0.17697903783115856,0.003404936425221561,0.0,0.08309630827303906,underresolved
2601,1.6922208445420373,4.488064941124912,0.6228157651566377,0.622679560279924,0.6233828205592619,underresolved
2602,0.06690234496227548,0.39033056851292897,0.00010815673933899183,0.0,1.0,indeterminate
2603,0.27802186288240827,12.842451343501402,0.019161148777228056,0.0084806240492474,0.03854001856823882,underresolved
2604,4.106252011799379,0.09527174774623993,0.08698994171387192,0.0,0.11545465533581852,underresolved
2605,10.697459872190949,0.06153718797348774,0.06062461351243469,0.0,0.08630806477764118,underresolved
2606,0.3124537200740288,14.19465244918406,0.026460599607403858,0.01238763575824619,0.03447751571675952,underresolved
2607,0.371481133086978,0.8376459970540023,0.02711584843540705,0.015920626280696702,0.03232952743699851,underresolved
2608,0.04192224971899381,0.12691159749347303,9.251699937541659e-06,0.0,1.0,indeterminate
2609,0.09715092084735513,0.5627070447135415,0.0004433738286103837,0.0,0.7098192192473777,underresolved
2610,0.3168492121151935,13.345421650203644,0.027480212342063114,0.026767326193488886,0.05082361741275794,underresolved
2611,1.3858029926172337,3.5474918985951667,0.5132467905427248,0.5129563705224298,0.5139399809481088,underresolved
2612,0.31707906720051,1.6763412635282544,0.02371305924947904,0.01260327262651115,0.034875737920240374,underresolved
2613,10.853237316331818,6.068216556857684,0.9742593324550353,0.9741505072190055,0.9744417077072374,resolved
2614,0.9762034461005141,19.893275491614673,0.3404305903967697,0.33929068924453387,0.34117154078778766,underresolved
2615,0.2546748276735177,7.231893162966029,0.014890421860562176,0.004822965112927065,0.04249630601935853,underresolved
2616,0.1448085939516131,2.5313947803329135,0.00273762790283524,0.0,0.07405329222261496,underresolved
2617,20.401530328334125,0.44907272896851125,0.4081891784089208,0.4052264758830053,0.4093597838667468,underresolved
2618,0.2691146974879353,10.707303771321476,0.01747339895392253,0.0,0.023725134128908944,underresolved
2619,0.3296041130649178,1.3407211539017236,0.02458915196369742,0.008638252605608417,0.028013607712308403,underresolved
2620,0.18507736767365265,23.528521364914415,0.006021815730443432,0.0,0.014250249979555733,underresolved
2621,14.436211271888734,20.024992972548723,0.9916097282552914,0.9914415414557619,0.9917138210144562,resolved
2622,0.8334189923221867,0.10279979769859288,0.02683513736819735,0.0,0.04766853268733509,underresolved
2623,0.044474167031226045,0.9105295313166161,5.904944262043238e-05,0.0,1.0,indeterminate
2624,15.169586068452139,23.400769978400625,0.9926108663077016,0.9925102377916645,0.9927817013085263,resolved
2625,5.1251800969693635,19.020471813473886,0.944192852631739,0.9439912939083015,0.94429305838242,resolved
2626,0.03961080172354318,0.6830748778798627,3.497303635014525e-05,0.0,1.0,indeterminate
2627,3.0714675045135564,0.053437172581514085,0.0458766043279703,0.0,0.13784492103124094,underresolved
2628,6.837416916566713,4.991138804305896,0.9498741927106914,0.949738751902352,0.9500495058395586,resolved
2629,0.0539252968788618,20.708472482597035,0.00015594816258269372,0.0,1.0,indeterminate
2630,0.9259347395008465,2.608598402599615,0.2928366575584602,0.2918316896321669,0.29403620458269003,underresolved
2631,3.9536966910808604,0.8447194960312002,0.5879879071539844,0.5867303309672349,0.5880939374359606,underresolved
2632,2.0573693867193406,18.708555775622038,0.7264738438917762,0.7262195384140834,0.726740274829311,underresolved
2633,3.663637000572078,4.602893096364626,0.8773516105480972,0.8773223531142196,0.8776873933272855,underresolved
2634,0.2768202940317841,0.6884724384789793,0.010767950134822893,0.0,0.02296572909811093,underresolved
2635,0.6212308426754147,0.12542661606292277,0.01828724614207472,0.0,0.04429072295836022,underresolved
2636,31.42389653834178,1.7713229538454032,0.86949062936086,0.869391543142123,0.8698764127333407,underresolved
2637,0.2753371263634044,0.2633951983279769,0.00476467262367675,0.0,0.04661743556556926,underresolved
2638,0.7689794663748258,0.17221048018299634,0.038443019996999846,0.026856218404528197,0.0555366633467206,underresolved
2639,0.3896370425992435,0.324318210276737,0.014762497894837122,0.0033977555236362205,0.02357557682901463,underresolved
2640,0.2968919262604616,0.13926683961233594,0.0031801055389766093,0.0,0.08611995419294843,underresolved
2641,0.07280842298194198,1.5978160624051907,0.00032458530126409663,0.0,1.0,indeterminate
2642,14.445710196560182,0.08028282362487464,0.07945354009902952,0.05453800661120432,0.15037687041880562,underresolved
2643,2.2864869066173794,0.041935428706831215,0.032224075164550475,0.0,0.12788505111491102,underresolved
2644,0.6656925536877544,2.556261756531488,0.158465337803405,0.15682083695698024,0.16133198127382029,underresolved
2645,0.05107687219980513,23.36858506966144,0.00013261062102622875,0.0,1.0,indeterminate
2646,0.034884640119192685,0.24368727666866843,1.0032674294994481e-05,0.0,1.0,indeterminate
2647,0.14424801873572524,1.4749708139131164,0.002408732130979735,0.0,0.1600954955070722,underresolved
2648,1.5728771650654119,4.516729227615052,0.5867580890536207,0.5862496800626733,0.5870329780600131,underresolved
2649,0.04068737239017948,15.240468860294488,6.704532630320369e-05,0.0,1.0,indeterminate
2650,1.6138610425983304,0.23305906643575255,0.1394128438777482,0.1280927812387509,0.1438250800800855,underresolved
2651,0.2906137888270188,0.06487989461109946,0.0014071115093178199,0.0,0.2723468261087002,underresolved
2652,0.4153921593816428,0.609555852659176,0.02938216764906928,0.020732560395085736,0.035117610303875155,underresolved
2653,1.8513581279551128,0.2062051235290395,0.1375582477247235,0.1225357128999941,0.14258205427219786,underresolved
2654,0.7719236447459088,1.2190386860411897,0.17639669609048383,0.17429832882712237,0.1779374016428497,underresolved
2655,0.09623694728314336,2.6616340941229484,0.000822900202462792,0.0,1.0,indeterminate
2656,0.10573158793789791,28.251429276713324,0.0011617166072483652,0.0,0.25538275922830234,underresolved
2657,11.213400511136658,0.6651357043899793,0.5472757689670378,0.5462618337123055,0.5482463498005112,underresolved
2658,0.31268976390537995,0.07825291036045755,0.002073699886592355,0.0,0.17542791227198162,underresolved
2659,5.201425393950673,0.1903882693603145,0.1771185900575246,0.17636217798589648,0.19738888426950638,underresolved
2660,28.9986438797976,31.438095254884953,0.9977142822661037,0.9975700360196408,0.9978383219365535,resolved
2661,0.055769827949142176,0.08559573268345488,1.4724543951413882e-05,0.0,1.0,indeterminate
2662,0.3297863620122298,0.05082232591794551,0.0015593252117066087,0.0,0.12238187628158159,underresolved
2663,0.9647214466843892,0.06060455918782315,0.020246363425610234,0.0,0.09459735849563704,underresolved
2664,1.1477513147788114,1.0191676275721453,0.3059351525803691,0.30489591790260656,0.30693156443158054,underresolved
2665,3.344178562588295,6.526547286642057,0.8693000857402771,0.8690027580510159,0.8693675598189081,underresolved
2666,14.061573906622767,0.3914911047324612,0.3618019925114949,0.35917446389960395,0.36454774423201536,underresolved
2667,8.917065843587087,2.4820765218612038,0.9103232053464183,0.9100481244478468,0.9104330771581068,resolved
2668,6.3320714986889834,3.651251809807433,0.9294921880707925,0.9293804608103229,0.9297172633556517,resolved
2669,2.3732764600935004,6.206949512022562,0.7726280040274953,0.7724322583831396,0.7728957163446303,underresolved
2670,3.0206861365609274,20.614484751804593,0.8545611902844246,0.8543070371891287,0.8546793022535619,underresolved
2671,0.8028728103946569,23.76032589161055,0.24516792205550644,0.2435503817106555,0.24644614249786156,underresolved
2672,0.9132195914291025,0.04508879436526766,0.01381226562541257,0.0,0.07259295968021896,underresolved
2673,0.6625750987110807,1.908254727609071,0.14925252584361143,0.14670897464426239,0.1513524523399302,underresolved
2674,3.59746185355418,0.8999032726549467,0.598261339409382,0.5980256437643551,0.5992699936826353,underresolved
2675,14.581496488652068,12.781336659773732,0.9899610828423137,0.989801913095989,0.9900764250205569,resolved
2676,0.371635926023165,14.281869325415213,0.042170898341864015,0.0382179017495952,0.054437435999770696,underresolved
2677,0.037738504637659244,0.058968199263765494,3.1571196652943388e-06,0.0,1.0,indeterminate
2678,9.506896506115844,0.721517803283295,0.5755368572118981,0.5750038016570512,0.5767220313976764,underresolved
2679,0.1649166298821338,0.50441343345326,0.0019403288931941192,0.0,0.04306263553667378,underresolved
2680,0.05488443690009326,3.4158349437543327,0.00015795461776450058,0.0,1.0,indeterminate
2681,0.43045921503071777,0.10336452346120775,0.006355065603715241,0.0,0.04017690032432311,underresolved
2682,0.6603847635660895,8.714161568015562,0.166253020696328,0.1628602173040291,0.16736627280502997,underresolved
2683,21.750456125394884,0.05241545103465447,0.052178068334545524,0.0,0.12194753494725484,underresolved
2684,0.2883065138729923,15.340175581286998,0.02121423120146248,0.014686547972317256,0.04375330681970244,underresolved
2685,0.7662177088333304,0.03614079700782131,0.008125847706672658,0.0,0.10092354813034161,underresolved
2686,0.15158997914672062,0.43452047673663213,0.0013417309854868815,0.0,0.35584414101211337,underresolved
2687,29.11532248540036,12.463400480721669,0.9950354126221659,0.9949289040851951,0.9952006582608997,resolved
2688,4.767231475011884,0.7666965512387464,0.570388415852104,0.5693422621982248,0.5709201207096616,underresolved
2689,0.05684077832990676,19.8205475644607,0.0001825268145806347,0.0,1.0,indeterminate
2690,0.3858483410788002,6.012144231418304,0.04601639404629887,0.04363828738192627,0.05862827269290267,underresolved
2691,1.2088493254656745,0.8204380454159569,0.2901667874626243,0.2894557933463889,0.291762831074201,underresolved
2692,2.338443826334602,0.4310609119823791,0.30769757510235723,0.30570525750763106,0.3103441975191472,underresolved
2693,0.3410045799714758,3.846216913948868,0.0325397852360443,0.018257408734199985,0.03665641555764424,underresolved
2694,16.34402841163355,9.073964028741916,0.9884266396436067,0.9882976735286468,0.9885751976208805,resolved
2695,0.03177132767985682,0.09891747981788794,3.1521545543172746e-06,0.0,1.0,indeterminate
2696,0.04930314337127841,0.8317218139783833,7.635733970544952e-05,0.0,1.0,indeterminate
2697,25.873645132997257,2.1776241458583856,0.9067283080061024,0.9064739405345903,0.9068831043405395,resolved
2698,0.18331970257948987,0.31477820049361593,0.0017602881828297104,0.0,0.09935264279386623,underresolved
2699,0.6673188289784329,13.968002330239337,0.17058722344980667,0.16703352291597884,0.17142926470852551,underresolved
2700,0.799531528737797,2.6913209010191594,0.22827380612496947,0.2271188699784436,0.23013091551694884,underresolved
2701,18.4107928154266,0.08401622079421743,0.0833521246096862,0.0,0.10985845175196357,underresolved
2702,0.40533179293824834,0.2753294216222267,0.014070958428902654,0.005578689908762406,0.030377035832712444,underresolved
2703,1.385094566495921,0.09722557657317464,0.05157499060193764,0.0,0.0736387424152504,underresolved
2704,0.666164573659557,0.03625754722273784,0.006174593351419793,0.0,0.09694142128861012,underresolved
2705,3.515672485512944,0.05873223708464983,0.05217309752985285,0.0,0.10958229003564207,underresolved
2706,0.04796342980157894,0.13207073115610554,1.4397443617813058e-05,0.0,1.0,indeterminate
2707,14.518842845045425,0.39889994861119094,0.3678887362163751,0.364676701560805,0.3698658632141128,underresolved
2708,0.38545998401100406,0.4430741471239735,0.018847339509541657,0.011388888916058389,0.030678598922777568,underresolved
2709,0.08729896891891072,0.034261226345094084,2.2523175242048328e-05,0.0,1.0,indeterminate
2710,0.6764095244590147,17.513499013487486,0.175588532942081,0.174296490938185,0.178553393884063,underresolved
2711,0.56987583594369,15.298463825980157,0.12111831981836571,0.11841707252309212,0.12468057570258256,underresolved
2712,0.1551557046554021,4.256504072075401,0.003508653445682328,0.000572729489772777,0.19214636477012595,underresolved
2713,0.055937308481435515,0.13458107507041192,2.3235698408173515e-05,0.0,1.0,indeterminate
2714,0.3911881911205437,2.439236369373046,0.044736575192136634,0.040526983123531944,0.05510786166440903,underresolved
2715,0.9043437459606005,0.08809893755530122,0.026482549812549317,0.0,0.06803891406314772,underresolved
2716,4.103695933721665,6.635849592477017,0.9068707871394206,0.906733750455307,0.9070682623269198,resolved
2717,0.8712404173691283,14.558801377817424,0.282794555308462,0.281094234599725,0.2835099543393429,underresolved
2718,0.2582861944607111,19.699741040222246,0.015619751994720878,0.010437188147318626,0.049365470660792846,underresolved
2719,1.508833680665703,2.8266623958213466,0.5459925724739998,0.545791074525921,0.5466774952230394,underresolved
2720,1.9562431645489033,0.45366302524565577,0.2916498047174893,0.2896200757785489,0.2939427740492216,underresolved
