cutout,frame,width_cells,reference_grid_peak,base_peak,radial_peak,axial_peak,sampled_peak_ratio,error_tolerance,conditional_status,model_retention_lower,model_retention_upper,false_reassurance_on_grid,false_underresolution_on_grid
x641_y129_z641,laboratory,0.7,0.5281111518624151,0.5278040004546363,0.5278078777581316,0.526812592315661,0.9994183962851464,5.281111518624151e-05,resolved,0.9992406199228059,0.9994389590011248,False,False
x641_y129_z641,cutout_mean_subtracted,0.35,0.30036356654208873,0.2996548035556522,0.29060385943142075,0.29933634170938633,0.9976403163852524,3.0036356654208874e-05,resolved,0.9892026151312526,0.9894732919960805,False,False
x641_y129_z641,cutout_mean_subtracted,0.5,0.30036356654208873,0.29584513317623706,0.2818032726672036,0.2955008382057938,0.9849567861446388,3.0036356654208874e-05,resolved,0.9830504234224466,0.9833264784753106,False,False
x641_y129_z641,cutout_mean_subtracted,0.7,0.30036356654208873,0.29068151782384793,0.2654315107609877,0.29040948247702203,0.967765568808146,3.0036356654208874e-05,resolved,0.9684907838797024,0.9687763225625078,False,False
x641_y641_z129,laboratory,0.35,1.121768639851851,1.1215963581249921,1.1213795841928356,1.119265668923713,0.9998464195550327,0.0001121768639851851,resolved,0.9991068080521354,0.9993719786781375,False,False
x641_y641_z129,laboratory,0.5,1.121768639851851,1.1205574391852018,1.1195864059052811,1.1164707231764515,0.9989202758718508,0.0001121768639851851,resolved,0.9983540467052272,0.9986223114182369,False,False
x641_y641_z129,laboratory,0.7,1.121768639851851,1.1187743241334347,1.1162606021339196,1.1114487763217262,0.9973307189985168,0.0001121768639851851,resolved,0.9969097986557262,0.997179614065445,False,False
x641_y641_z129,cutout_mean_subtracted,0.35,0.12754406857363662,0.1265289718294178,0.12374982539273433,0.11544958417819269,0.9920412077521836,1.2754406857363663e-05,resolved,0.9585460856051926,0.958852841906861,False,False
x641_y641_z129,cutout_mean_subtracted,0.5,0.12754406857363662,0.12097591323786572,0.11639088158226846,0.10494848769946068,0.9485028554504765,1.2754406857363663e-05,resolved,0.931159483109824,0.9315079554108702,False,False
x641_y641_z129,cutout_mean_subtracted,0.7,0.12754406857363662,0.11333892567595218,0.10588415276076636,0.09362100042245536,0.8886256095125019,1.2754406857363663e-05,underresolved,0.8976867215551418,0.8980932858959627,False,False
x641_y641_z641,laboratory,0.35,0.6396858609972903,0.6384012166305695,0.6214372270077135,0.6414844770710864,0.9979917574468223,6.396858609972903e-05,model_inconsistent,,,False,False
x641_y641_z641,laboratory,0.5,0.6396858609972903,0.6317620489452469,0.612794907370507,0.6345436144662729,0.987612963588581,6.396858609972903e-05,model_inconsistent,,,False,False
x641_y641_z641,laboratory,0.7,0.6396858609972903,0.6238441909111683,0.6062847172624277,0.6259532441487499,0.9752352348988543,6.396858609972903e-05,model_inconsistent,,,False,False
x641_y641_z641,cutout_mean_subtracted,0.35,0.30819301138359434,0.3080272083602271,0.30281350281868724,0.3096070775739057,0.9994620156290278,3.081930113835944e-05,model_inconsistent,,,False,False
x641_y641_z641,cutout_mean_subtracted,0.5,0.30819301138359434,0.30672497558302253,0.2957626349262197,0.30757389757990566,0.9952366350100502,3.081930113835944e-05,model_inconsistent,,,False,False
x641_y641_z641,cutout_mean_subtracted,0.7,0.30819301138359434,0.3036062918277604,0.2804706380071269,0.30220075707917127,0.9851173797379686,3.081930113835944e-05,resolved,0.9713382470812558,0.9716186821480134,False,False
