tau,a,b,true_peak,measured_peak,energy,retention
0.008472274141405963,0.09204495717531712,0.09426706813505985,11.126536578219875,10.156560993866297,0.7482888866739479,0.912823224232031
0.008203515443298184,0.09057326008982002,0.09277479427747462,11.309150926663575,10.293239744051585,0.7366807053978702,0.9101691020661173
0.007943282347242814,0.08912509381337455,0.09130614352931758,11.494762434198348,10.430811500543987,0.7252526014621595,0.9074403721046922
0.0076913044028660985,0.08770008211436349,0.08986074193020865,11.683420291715775,10.569234707308201,0.7140017813328637,0.9046353245378328
0.007447319739059889,0.08629785477669702,0.08843822143966427,11.875174497453262,10.708465142561758,0.7029254948120328,0.9017522348710147
0.007211074791828998,0.0849180475036314,0.087038219843384,12.070075870244562,10.848455833372874,0.6920210343654486,0.898789365534706
0.006982324040771711,0.08356030182312478,0.08566038066102023,12.268176062987866,10.9891569704202,0.681285734460783,0.8957449676299994
0.006760829753919818,0.08222426499470711,0.08430435305540833,12.46952757633485,11.130515823185933,0.6707169709160262,0.8926172828158987
0.006546361740672747,0.08090958991783821,0.08296979174323323,12.674183772604461,11.272476655877059,0.6603121602580168,0.8894045453438015
0.00633869711256927,0.07961593504173188,0.08165635690711077,12.882198889925018,11.414980644393838,0.6500687590909309,0.8861049842446796
0.006137620051647939,0.07834296427662116,0.08036371410906014,13.09362805660846,11.557965794689618,0.63998426347456,0.8827168256743186
0.005942921586155727,0.07709034690644301,0.07909153420534676,13.30852730576046,11.701366862891929,0.6300562083122405,0.8792382954218467
0.005754399373371567,0.07585775750291836,0.07783949326267259,13.526953590130391,11.845115277581595,0.620282166748272,0.8756676215865848
0.005571857489319298,0.07464487584100665,0.0766072724756938,13.74896479720495,11.989139064653575,0.61065974957469,0.8720030374280154
0.005395106225151273,0.07345138681571146,0.07539455808584344,13.97461976454958,12.133362775211314,0.6011866046472334,0.8682427843933819
0.005223961889991197,0.07227698036021703,0.07420104130144003,14.203978295401589,12.277707416974238,0.5918604163103816,0.8643851153270937
0.005058246620031137,0.07112135136533287,0.07302641821905988,14.437101174519313,12.422090389706819,0.5826789048313,0.8604282978657185
0.004897788193684461,0.06998419960022734,0.07187038974615506,14.674050184291266,12.56642542520571,0.573639825842579,0.8563706180218879
