region_zyx,frame,width_cells,reference_grid_peak,base_peak,radial_peak,axial_peak,sampled_peak_ratio,error_tolerance,conditional_status,model_retention_lower,model_retention_upper,false_reassurance_on_grid,false_underresolution_on_grid
16_32_16,laboratory,1.0,1.709502819907761,1.6633095184069249,1.618834130146122,1.634798262526263,0.9729785169331697,0.00017095028199077612,resolved,0.9849280997309912,0.9852109226099048,False,False
16_32_32,laboratory,1.0,1.7151849194025255,1.6713723743303306,1.6408406865569198,1.6507256347309527,0.9744560807545715,0.00017151849194025257,resolved,0.9895049208176027,0.989784725421333,False,False
32_16_16,laboratory,1.0,1.483219439865985,1.3853541538417284,1.2570692130709096,1.3416046832834918,0.9340183364687432,0.0001483219439865985,resolved,0.9558310776337104,0.9561388300183211,False,False
32_16_32,laboratory,1.0,1.8677365107695112,1.8172736293362386,1.7347729650167398,1.7833712543905047,0.9729817984805138,0.00018677365107695114,resolved,0.9778524400226197,0.978137771035528,False,False
32_32_16,laboratory,1.0,1.721638048402617,1.6581790702402885,1.6212240047018764,1.6391814245154357,0.9631403486806025,0.0001721638048402617,resolved,0.9884345746263383,0.9887177570292375,False,False
32_32_32,laboratory,1.0,1.7910339300139309,1.662030158113206,1.633830757823306,1.6461141884224002,0.9279724578418671,0.0001791033930013931,resolved,0.9908971564901091,0.9911898016391889,False,False
16_16_16,laboratory,1.5,1.1165977960973001,1.0126950214305857,0.9288718787413472,0.9643874380359255,0.906947000047938,0.00011165977960973001,resolved,0.9535851570995509,0.9539076173570302,False,False
16_16_32,laboratory,1.5,1.2693436201208261,1.1960891132743317,1.1095413209070748,1.1821971947255538,0.9422894591461991,0.00012693436201208263,resolved,0.9704414572381143,0.970736624501568,False,False
16_32_16,laboratory,1.5,1.709502819907761,1.6325324277058821,1.5452823554771273,1.5829565100673817,0.9549749837756735,0.00017095028199077612,resolved,0.9708004665143906,0.9710964945474113,False,False
16_32_32,laboratory,1.5,1.7151849194025255,1.6504685302470024,1.5856576195300371,1.6193393553175515,0.9622685645008664,0.00017151849194025257,resolved,0.9799505480976484,0.980238471139872,False,False
32_16_16,laboratory,1.5,1.483219439865985,1.3044272273324231,1.1430327814642662,1.2713147261521234,0.8794566685630034,0.0001483219439865985,resolved,0.9457370802349377,0.9460657296180321,True,False
32_16_32,laboratory,1.5,1.8677365107695112,1.7595156727259067,1.6399691352188428,1.6753304566874119,0.9420577595289299,0.00018677365107695114,resolved,0.959022852489991,0.9593316771629508,False,False
32_32_16,laboratory,1.5,1.721638048402617,1.634919045431207,1.5517169912154123,1.5989757195772336,0.9496299451258816,0.0001721638048402617,resolved,0.9747164446091029,0.9750106442061562,False,False
32_32_32,laboratory,1.5,1.7910339300139309,1.6438508417111808,1.5815140224120272,1.6200368191390022,0.9178222780505307,0.0001791033930013931,resolved,0.98194090189394,0.9822409420056336,False,False
16_16_16,laboratory,2.0,1.1165977960973001,0.9704841396121233,0.8721929486815979,0.9114850612628494,0.8691438788470934,0.00011165977960973001,resolved,0.9414606574398825,0.9418055834280983,True,False
16_16_32,laboratory,2.0,1.2693436201208261,1.1601911931909874,1.0602511329856212,1.1434064547304765,0.9140087639,0.00012693436201208263,resolved,0.9642711606377626,0.9645782571171202,False,False
16_32_16,laboratory,2.0,1.709502819907761,1.5925681454977698,1.4713333901134018,1.522679370376908,0.9315972614679274,0.00017095028199077612,resolved,0.9575155837296259,0.9578271327087432,False,False
16_32_32,laboratory,2.0,1.7151849194025255,1.624700823764679,1.5198347446287772,1.5732576012433623,0.9472452826431297,0.00017151849194025257,resolved,0.9663061803160413,0.9666063694610401,False,False
32_16_16,laboratory,2.0,1.483219439865985,1.2349846822824142,1.065037781693856,1.1911056139380647,0.8326378748069808,0.0001483219439865985,resolved,0.9364692775856267,0.9368228610774746,True,False
32_16_32,laboratory,2.0,1.8677365107695112,1.6893691731305942,1.5506377105457603,1.5595897377465378,0.904500802650461,0.00018677365107695114,resolved,0.9421171828786171,0.9424540770516121,False,False
