radius,total_true,total_filtered,broad_true
4.042654873623441e-05,0.020002135057574127,6.501455685356365e-06,6.665211080188042e-06
4.0644332916521274e-05,0.020109887932318066,6.5364800503181586e-06,6.70111762123325e-06
4.086329033446176e-05,0.020218221259919695,6.571693097046052e-06,6.7372175964659566e-06
4.108342731047174e-05,0.020327138166901355,6.607095841998415e-06,6.7735120479465684e-06
4.1304750199016105e-05,0.020436641796620813,6.6426893071094225e-06,6.8100020233492286e-06
4.152726538879246e-05,0.020546735309361967,6.678474519818611e-06,6.846688575992101e-06
4.175097930291512e-05,0.020657421882425687,6.714452513100455e-06,6.883572764867702e-06
4.1975898399100776e-05,0.020768704710221516,6.75062432549424e-06,6.9206556546735216e-06
4.220202916985487e-05,0.02088058700435965,6.7869910011340195e-06,6.9579383158427394e-06
4.2429378142658926e-05,0.020993071993743458,6.823553589778761e-06,6.99542182457512e-06
4.265795188015926e-05,0.02110616292466265,6.860313146842676e-06,7.033107262868119e-06
4.288775698035595e-05,0.02121986306088655,6.897270733425625e-06,7.070995718548045e-06
4.311880007679365e-05,0.021334175683758328,6.934427416343792e-06,7.109088285301514e-06
4.335108783875293e-05,0.021449104092289454,6.971784268160469e-06,7.147386062707e-06
4.3584626971442755e-05,0.021564651603254686,7.009342367216999e-06,7.185890156266565e-06
4.381942421619437e-05,0.02168082155128783,7.0471027976639634e-06,7.224601677437833e-06
4.4055486350655344e-05,0.021797617288977514,7.08506664949239e-06,7.263521743665975e-06
4.4292820188985626e-05,0.02191504218696395,7.123235018565277e-06,7.302651478416034e-06
4.4531432582054085e-05,0.02203309963403597,7.161609006649203e-06,7.341992011205332e-06
4.4771330417636234e-05,0.022151793037228612,7.20018972144613e-06,7.381544477636071e-06
4.501252062061336e-05,0.022271125821921416,7.2389782766254195e-06,7.421310019428156e-06
4.5255010153171936e-05,0.022391101431936858,7.277975791855907e-06,7.4612897844520795e-06
4.549880601500489e-05,0.022511723329639674,7.317183392838277e-06,7.501484926762105e-06
4.5743915243513626e-05,0.022632994996036576,7.3566022113375355e-06,7.541896606629569e-06
4.5990344914011006e-05,0.022754919930876437,7.3962333852156706e-06,7.582525990576351e-06
4.6238102139926034e-05,0.022877501652751306,7.43607805846456e-06,7.623374251408625e-06
4.6487194073008576e-05,0.023000743699197433,7.4761373812388974e-06,7.6644425682506e-06
4.673762790353619e-05,0.02312464962679736,7.516412509889456e-06,7.705732126578634e-06
4.698941086052151e-05,0.02324922301128224,7.5569046069964415e-06,7.747244118255415e-06
4.724255021192128e-05,0.02337446744763499,7.597614841403105e-06,7.788979741564427e-06
4.749705326484557e-05,0.023500386550193573,7.638544388249393e-06,7.830940201244455e-06
4.775292736576912e-05,0.023626983952755223,7.679694429005932e-06,7.873126708524412e-06
4.801017990074316e-05,0.023754263308681012,7.721066151508102e-06,7.915540481158277e-06
4.826881829560908e-05,0.023882228291001246,7.762660749990387e-06,7.958182743460313e-06
4.85288500162121e-05,0.02401088259252091,7.80447942512075e-06,8.001054726340301e-06
4.8790282568617246e-05,0.02414022992592625,7.846523384035358e-06,8.044157667339148e-06
4.9053123499325905e-05,0.024270274023891543,7.888793840373414e-06,8.087492810664591e-06
4.931738039549354e-05,0.024401018639186596,7.931292014312163e-06,8.131061407227089e-06
4.9583060885149125e-05,0.02453246754478493,7.974019132602194e-06,8.174864714676001e-06
4.985017263741472e-05,0.024664624533972154,8.016976428602743e-06,8.218903997435795e-06
5.011872336272725e-05,0.024797493420455344,8.060165142317355e-06,8.263180526742608e-06
5.0388720813060986e-05,0.024931078038472797,8.103586520429679e-06,8.307695580680924e-06
5.066017278215119e-05,0.025065382242904354,8.147241816339424e-06,8.352450444220454e-06
5.0933087105719524e-05,0.025200409909382594,8.191132290198612e-06,8.397446409253297e-06
5.12074716616996e-05,0.025336164934404055,8.235259208947851e-06,8.442684774631125e-06
5.14833343704648e-05,0.025472651235441655,8.279623846352975e-06,8.488166846202741e-06
5.1760683195056815e-05,0.02560987275105734,8.324227483041795e-06,8.533893936851766e-06
5.203952614141537e-05,0.025747833441015448,8.369071406541047e-06,8.579867366534513e-06
5.231987125860977e-05,0.025886537286396876,8.41415691131363e-06,8.62608846231816e-06
5.260172663907063e-05,0.02602598828971336,8.459485298795864e-06,8.67255855841895e-06
5.288510041882383e-05,0.026166190475022846,8.505057877435128e-06,8.71927899624078e-06
5.317000077772533e-05,0.02630714788804529,8.55087596272762e-06,8.766251124413899e-06
5.345643593969714e-05,0.026448864596279018,8.596940877256298e-06,8.81347629883382e-06
5.3744414172965156e-05,0.026591344689117995,8.643253950729137e-06,8.860955882700536e-06
5.403394379029719e-05,0.026734592277969194,8.689816520017404e-06,8.908691246557757e-06
5.432503314924336e-05,0.026878611496371132,8.736629929194325e-06,8.956683768332545e-06
5.4617690652377197e-05,0.027023406500112722,8.783695529573855e-06,9.004934833375073e-06
5.4911924747538124e-05,0.027168981467352846,8.831014679749677e-06,9.053445834498591e-06
5.520774392807573e-05,0.027315340598740745,8.878588745634476e-06,9.102218172019718e-06
5.5505156733094295e-05,0.027462488117536606,8.926419100499279e-06,9.151253253798733e-06
