h,chi,s_max,C_max,s_limit,C_limit,relative_C_error
0.005,0.66,2.0712696828050374,0.37693835013924537,2.1018547130493923,0.37837324183639576,0.00379226525159726
0.005,0.68,2.063843260618484,0.3774261418214004,2.0943602072805865,0.3788525982177554,0.0037652015666924665
0.005,0.7000000000000001,2.05694200145867,0.37787962519915597,2.087396058423817,0.37929821219397775,0.0037400307969189805
0.005,0.72,2.0505315104986988,0.3783010082092951,2.080927513065701,0.3797122590505147,0.003716632285585164
0.005,0.74,2.0445792230755546,0.37869238435096203,2.07492174204366,0.3800968007988886,0.0036948915249345182
0.005,0.76,2.0390546474131215,0.3790557348509378,2.0693477771438977,0.3804537884042035,0.0036747000447275857
0.005,0.78,2.0339289280200377,0.37939293136458435,2.0641764446082607,0.3807850645293692,0.003655955273627831
0.005,0.8,2.0291748255630737,0.3797057391148061,2.0593802961803185,0.38109236670060526,0.003638560377905775
0.005,0.8200000000000001,2.0247668197453828,0.37999582037988683,2.054933538390703,0.3813773308072082,0.0036224240816761233
0.005,0.84,2.0206810154238806,0.3802647382497386,2.0508119607399866,0.38164149485712534,0.0036074604725624404
0.005,0.86,2.0168949865299215,0.3805139605787207,2.04699286338713,0.38188630291836434,0.003593588796341307
0.005,0.88,2.013387580675637,0.3807448640715836,2.0434549848956953,0.38211310918451874,0.003580733243764289
0.005,0.9,2.0101391014164793,0.3809587384471214,2.0401784305309727,0.38232318211056365,0.0035688227324066624
0.005,0.92,2.0071312573507227,0.3811567906316845,2.03714460154102,0.3825177085724898,0.003557790686041895
0.005,0.9400000000000001,2.004346719834212,0.3813401489417357,2.034336125795039,0.38269779801122583,0.0035475748137184793
0.005,0.96,2.00176943143815,0.3815098672210972,2.0317367900948717,0.3828644865276154,0.0035381168904013993
0.005,0.98,1.9993844802640335,0.381666928904406,2.029331474420709,0.3830187409009468,0.0035293625407493145
0.005,1.0,1.9971779488947707,0.38181225098357774,2.0271060883210668,0.3831614625086854,0.003521261027332745
0.005,1.02,1.9951366642381108,0.3819466878587776,2.025047509610221,0.38329349112964095,0.003513765044363404
0.005,1.04,1.9932487567195856,0.38207103505955287,2.0231435254938326,0.3834156086168412,0.0035068305177737846
0.005,1.06,1.9915028069703267,0.38218603282540187,2.0213827762055407,0.3835285424299133,0.003500416412311136
0.005,1.08,1.9898883611404685,0.3822923695382023,2.019754701203839,0.3836329690198241,0.0034944845461196694
0.005,1.1,1.988395662554764,0.3823906850016116,2.018249487949395,0.38372951706145014,0.003488999413157279
0.005,1.12,1.987015929955257,0.38248157356484724,2.0168580232579187,0.3838187705316664,0.003483928013647941
0.005,1.1400000000000001,1.9857404731286281,0.3825655870901715,2.0155718472024913,0.38390127163250304,0.003479239692673164
0.005,1.16,1.9845615931141132,0.3826432377650094,2.0143831095215523,0.3839775235604687,0.0034749059869103593
0.005,1.18,1.983472142417027,0.3827150007609308,2.0132845284742675,0.38404799312439714,0.003470900479447536
0.005,1.2,1.9824653924714595,0.38278131674278637,2.0122693520733796,0.3841131132151916,0.0034671986625437468
0.005,1.22,1.9815351390302651,0.38284259423211764,2.011331321616577,0.38417328513164206,0.0034637778081535453
0.005,1.24,1.980675572442892,0.38289921182960235,2.0104646374306014,0.38422888076710277,0.003460616845994968
0.005,1.26,1.9798815308638211,0.3829515203017786,2.0096639267374408,0.384280244662275,0.0034576962489033525
0.005,1.28,1.9791478678416172,0.38299984453762315,2.008924213548777,0.3843276959296563,0.003454997925198211
0.005,1.3,1.9784701882578268,0.38304448538078256,2.0082408904930817,0.38437153005542574,0.003452505117774507
0.005,1.32,1.97784421917239,0.3830857213433773,2.0076096924792344,0.3844120205846395,0.003450202309608019
0.005,1.34,1.9772660017680939,0.38312381020733444,2.0070266721009675,0.38444942069564453,0.0034480751353752614
0.005,1.36,1.9767319958126925,0.38315899051918134,2.0064881766877427,0.38448396466958173,0.0034461102988756487
0.005,1.3800000000000001,1.976238734780583,0.38319148298414646,2.0059908269096054,0.3845158692607615,0.0034442954959470473
0.005,1.4000000000000001,1.9757831141319329,0.38322149176529063,2.0055314968460456,0.38454533497356846,0.003442619342577169
0.005,1.42,1.9753624336029891,0.38324920569323173,2.0051072954317792,0.38457254725138856,0.0034410713079106037
0.005,1.44,1.9749739682641363,0.3832747993918407,2.004715549195559,0.38459767758286617,0.0034396416518672757
0.005,1.46,1.9746151182221288,0.3832984343250858,2.004353786211531,0.3846208845305971,0.003438321367091768
0.005,1.48,1.9742837779520364,0.3833202597699802,2.004019721186223,0.38464231468714505,0.0034371021249707256
0.005,1.5,1.9739778712961804,0.38334041372036987,2.0037112416078635,0.38466210356304753,0.003435976225458992
0.005,1.52,1.9736953827419654,0.383359023726063,2.0034263948884172,0.384680376411247,0.0034349365504712237
0.005,1.54,1.9734345027419848,0.3833762076715759,2.0031633764323726,0.3846972489921575,0.003433976520608173
0.005,1.56,1.9731936768703175,0.38339207449854,2.0029205185699093,0.38471282828334863,0.003433090054995147
0.005,1.58,1.9729712378126385,0.3834067248755887,2.0026962802956296,0.3847272131376065,0.0034322715340271426
0.005,1.6,1.972765892813097,0.38342025181932426,2.0024892377574544,0.384740494892914,0.0034315157648201478
0.005,1.62,1.9725763371888743,0.38343274126974963,2.0022980754436146,0.38475275793768116,0.0034308179491863156
0.005,1.6400000000000001,1.972401246388844,0.3834442726233454,2.0021215780188752,0.3847640802343534,0.0034301736539547045
0.005,1.6600000000000001,1.972239586550032,0.3834549192267727,2.0019586227641883,0.38477453380433146,0.0034295787834800473
0.005,1.68,1.972090408520408,0.38346474883399523,2.001808172576903,0.38478418517694707,0.003429029554177454
0.005,1.7,1.9719526188219607,0.38347382402943025,2.0016692694914497,0.3847930958050632,0.0034285224709470485
0.005,1.72,1.971825492144413,0.38348220261957083,2.001541028683061,0.38480132244969795,0.0034280543053475387
0.005,1.74,1.9717080656742259,0.3834899379953543,2.001422632919599,0.3848089175359105,0.0034276220753982622
0.005,1.76,1.9715995955565897,0.38349707946740214,2.0013133274289197,0.38481592948203597,0.0034272230268871384
0.005,1.78,1.971499486145737,0.38350367257610884,2.0012124151514366,0.38482240300421533,0.0034268546160812763
0.005,1.8,1.9714071486451403,0.3835097593784236,2.001119252349654,0.3848283793980299,0.003426514493730881
0.005,1.82,1.9713218954637721,0.38351537871303637,2.001033244548391,0.3848338967989241,0.003426200490277087
0.005,1.84,1.9712431124159573,0.38352056644556365,2.000953842781282,0.38483899042298364,0.0034259106021738983
0.005,1.86,1.9711703897567965,0.38352535569521407,2.0008805401208667,0.3848436927895234,0.0034256429792403065
0.005,1.8800000000000001,1.971103322446335,0.3835297770443092,2.0008128684711926,0.3848480339268369,0.0034253959129705303
0.005,1.9000000000000001,1.9710412665599586,0.38353385873193635,2.0007503956033803,0.38485204156235975,0.003425167825723552
