kind,frame,width,center,region_side,field,value,position,edge
central,laboratory,1.0,64_64_64,32,1,1.817270577936484,"[79, 48, 79]",0
central,laboratory,1.0,64_64_64,32,2,1.7347583749386926,"[79, 48, 79]",0
central,laboratory,1.0,64_64_64,32,3,1.7833553148095702,"[79, 49, 78]",0
central,laboratory,1.0,64_64_64,32,4,1.7595008519242996,"[79, 48, 79]",0
central,laboratory,1.0,64_64_64,32,5,1.6893427593874617,"[79, 48, 79]",0
central,laboratory,1.0,64_64_64,48,0,2.080310763115811,"[87, 73, 74]",0
central,laboratory,1.0,64_64_64,48,1,1.9654045134407752,"[87, 72, 75]",0
central,laboratory,1.0,64_64_64,48,2,1.848825169448026,"[87, 73, 75]",0
central,laboratory,1.0,64_64_64,48,3,1.9151638713227515,"[87, 71, 76]",0
central,laboratory,1.0,64_64_64,48,4,1.8911673011343424,"[87, 73, 75]",0
central,laboratory,1.0,64_64_64,48,5,1.814671883310362,"[87, 73, 75]",0
central,laboratory,1.0,64_64_64,64,0,2.270792839598196,"[85, 32, 49]",0
central,laboratory,1.0,64_64_64,64,1,2.1557531089384327,"[85, 32, 48]",0
central,laboratory,1.0,64_64_64,64,2,2.0841061010240525,"[85, 32, 48]",0
central,laboratory,1.0,64_64_64,64,3,2.069967900585829,"[85, 32, 32]",0
central,laboratory,1.0,64_64_64,64,4,2.067117238857693,"[85, 32, 48]",0
central,laboratory,1.0,64_64_64,64,5,2.010609501886198,"[85, 32, 32]",0
event,laboratory,1.0,"[65, 82, 63]",17,0,1.8282725764835186,"[69, 85, 70]",1
event,laboratory,1.0,"[65, 82, 63]",17,1,1.708517840153137,"[68, 83, 68]",3
event,laboratory,1.0,"[65, 82, 63]",17,2,1.6408259552903346,"[63, 79, 65]",5
event,laboratory,1.0,"[65, 82, 63]",17,3,1.662717265880378,"[67, 82, 66]",5
event,laboratory,1.0,"[65, 82, 63]",17,4,1.6520984875970028,"[67, 82, 66]",5
event,laboratory,1.0,"[65, 82, 63]",17,5,1.6246807418229827,"[63, 79, 66]",5
event,laboratory,1.0,"[65, 82, 63]",25,0,1.8282725764835186,"[69, 85, 70]",5
event,laboratory,1.0,"[65, 82, 63]",25,1,1.708517840153137,"[68, 83, 68]",7
event,laboratory,1.0,"[65, 82, 63]",25,2,1.6408259552903346,"[63, 79, 65]",9
event,laboratory,1.0,"[65, 82, 63]",25,3,1.662717265880378,"[67, 82, 66]",9
event,laboratory,1.0,"[65, 82, 63]",25,4,1.6520984875970028,"[67, 82, 66]",9
event,laboratory,1.0,"[65, 82, 63]",25,5,1.6246807418229827,"[63, 79, 66]",9
event,laboratory,1.0,"[65, 82, 63]",33,0,1.8282725764835186,"[69, 85, 70]",9
event,laboratory,1.0,"[65, 82, 63]",33,1,1.708517840153137,"[68, 83, 68]",11
event,laboratory,1.0,"[65, 82, 63]",33,2,1.6408259552903346,"[63, 79, 65]",13
event,laboratory,1.0,"[65, 82, 63]",33,3,1.662717265880378,"[67, 82, 66]",13
event,laboratory,1.0,"[65, 82, 63]",33,4,1.6520984875970028,"[67, 82, 66]",13
event,laboratory,1.0,"[65, 82, 63]",33,5,1.6246807418229827,"[63, 79, 66]",13
event,laboratory,1.0,"[82, 67, 75]",17,0,2.213389299815148,"[90, 69, 78]",0
event,laboratory,1.0,"[82, 67, 75]",17,1,2.035411753524821,"[89, 70, 77]",1
event,laboratory,1.0,"[82, 67, 75]",17,2,1.8690719395004471,"[89, 72, 76]",1
event,laboratory,1.0,"[82, 67, 75]",17,3,1.9638758210441571,"[89, 70, 77]",1
event,laboratory,1.0,"[82, 67, 75]",17,4,1.9201344905565374,"[89, 71, 76]",1
event,laboratory,1.0,"[82, 67, 75]",17,5,1.8242035663364937,"[89, 72, 76]",1
event,laboratory,1.0,"[82, 67, 75]",25,0,2.213389299815148,"[90, 69, 78]",4
event,laboratory,1.0,"[82, 67, 75]",25,1,2.035411753524821,"[89, 70, 77]",5
event,laboratory,1.0,"[82, 67, 75]",25,2,1.8690719395004471,"[89, 72, 76]",5
event,laboratory,1.0,"[82, 67, 75]",25,3,1.9638758210441571,"[89, 70, 77]",5
event,laboratory,1.0,"[82, 67, 75]",25,4,1.9201344905565374,"[89, 71, 76]",5
event,laboratory,1.0,"[82, 67, 75]",25,5,1.8242035663364937,"[89, 72, 76]",5
event,laboratory,1.0,"[82, 67, 75]",33,0,2.213389299815148,"[90, 69, 78]",8
event,laboratory,1.0,"[82, 67, 75]",33,1,2.035411753524821,"[89, 70, 77]",9
event,laboratory,1.0,"[82, 67, 75]",33,2,1.8690719395004471,"[89, 72, 76]",9
event,laboratory,1.0,"[82, 67, 75]",33,3,1.9638758210441571,"[89, 70, 77]",9
event,laboratory,1.0,"[82, 67, 75]",33,4,1.9201344905565374,"[89, 71, 76]",9
event,laboratory,1.0,"[82, 67, 75]",33,5,1.8242035663364937,"[89, 72, 76]",9
event,laboratory,1.0,"[61, 51, 82]",17,0,1.6948761538419612,"[55, 51, 87]",2
event,laboratory,1.0,"[61, 51, 82]",17,1,1.5189393520867875,"[55, 51, 87]",2
event,laboratory,1.0,"[61, 51, 82]",17,2,1.338561831392026,"[55, 51, 87]",2
event,laboratory,1.0,"[61, 51, 82]",17,3,1.4715025436298759,"[55, 51, 87]",2
event,laboratory,1.0,"[61, 51, 82]",17,4,1.4058818157164605,"[55, 51, 87]",2
event,laboratory,1.0,"[61, 51, 82]",17,5,1.315821216191201,"[54, 51, 87]",1
event,laboratory,1.0,"[61, 51, 82]",25,0,1.8473175766312293,"[73, 49, 83]",0
event,laboratory,1.0,"[61, 51, 82]",25,1,1.6550049696349618,"[73, 49, 83]",0
event,laboratory,1.0,"[61, 51, 82]",25,2,1.4951260637143162,"[73, 48, 85]",0
event,laboratory,1.0,"[61, 51, 82]",25,3,1.606754947706798,"[73, 48, 85]",0
event,laboratory,1.0,"[61, 51, 82]",25,4,1.5560983377759456,"[73, 48, 85]",0
event,laboratory,1.0,"[61, 51, 82]",25,5,1.4711603234602348,"[73, 48, 85]",0
event,laboratory,1.0,"[61, 51, 82]",33,0,1.990462168016117,"[75, 48, 83]",2
event,laboratory,1.0,"[61, 51, 82]",33,1,1.8555637703476826,"[76, 47, 84]",1
event,laboratory,1.0,"[61, 51, 82]",33,2,1.7423489718522396,"[77, 47, 83]",0
event,laboratory,1.0,"[61, 51, 82]",33,3,1.7607650886990482,"[76, 48, 83]",1
event,laboratory,1.0,"[61, 51, 82]",33,4,1.7515329385394642,"[77, 47, 83]",0
event,laboratory,1.0,"[61, 51, 82]",33,5,1.664514139018364,"[77, 48, 83]",0
event,laboratory,1.0,"[67, 80, 79]",17,0,1.8235130910616928,"[69, 86, 71]",0
event,laboratory,1.0,"[67, 80, 79]",17,1,1.686300325474125,"[69, 86, 71]",0
event,laboratory,1.0,"[67, 80, 79]",17,2,1.5963829476330866,"[60, 79, 71]",0
event,laboratory,1.0,"[67, 80, 79]",17,3,1.6184837996836026,"[60, 79, 71]",0
event,laboratory,1.0,"[67, 80, 79]",17,4,1.611844888264452,"[60, 79, 71]",0
event,laboratory,1.0,"[67, 80, 79]",17,5,1.5777184934977944,"[61, 79, 71]",0
event,laboratory,1.0,"[67, 80, 79]",25,0,1.8282725764835186,"[69, 85, 70]",3
event,laboratory,1.0,"[67, 80, 79]",25,1,1.708517840153137,"[68, 83, 68]",1
event,laboratory,1.0,"[67, 80, 79]",25,2,1.6402517660300773,"[62, 79, 67]",0
event,laboratory,1.0,"[67, 80, 79]",25,3,1.6580998463421608,"[67, 82, 67]",0
event,laboratory,1.0,"[67, 80, 79]",25,4,1.6508772586368656,"[67, 82, 67]",0
event,laboratory,1.0,"[67, 80, 79]",25,5,1.6237029795887883,"[62, 79, 67]",0
event,laboratory,1.0,"[67, 80, 79]",33,0,1.9446596602206716,"[83, 76, 67]",0
event,laboratory,1.0,"[67, 80, 79]",33,1,1.8270965927662488,"[83, 76, 69]",0
event,laboratory,1.0,"[67, 80, 79]",33,2,1.7052601914937646,"[83, 77, 69]",0
event,laboratory,1.0,"[67, 80, 79]",33,3,1.768837261147276,"[83, 76, 69]",0
event,laboratory,1.0,"[67, 80, 79]",33,4,1.7383165363529316,"[83, 77, 68]",0
event,laboratory,1.0,"[67, 80, 79]",33,5,1.6815621309876871,"[83, 75, 75]",0
event,laboratory,1.0,"[80, 62, 45]",17,0,1.5833404084489608,"[81, 58, 38]",1
event,laboratory,1.0,"[80, 62, 45]",17,1,1.4248178040084234,"[81, 58, 38]",1
event,laboratory,1.0,"[80, 62, 45]",17,2,1.2980200690854165,"[81, 58, 39]",2
event,laboratory,1.0,"[80, 62, 45]",17,3,1.3561201116689539,"[81, 58, 37]",0
event,laboratory,1.0,"[80, 62, 45]",17,4,1.3291423526826731,"[81, 58, 38]",1
event,laboratory,1.0,"[80, 62, 45]",17,5,1.2444235819412337,"[81, 58, 38]",1
event,laboratory,1.0,"[80, 62, 45]",25,0,1.8150831024736698,"[92, 50, 33]",0
event,laboratory,1.0,"[80, 62, 45]",25,1,1.7198363551150087,"[92, 50, 33]",0
event,laboratory,1.0,"[80, 62, 45]",25,2,1.6058887551013596,"[92, 50, 33]",0
event,laboratory,1.0,"[80, 62, 45]",25,3,1.6844537484457895,"[92, 50, 33]",0
event,laboratory,1.0,"[80, 62, 45]",25,4,1.6494943651557459,"[92, 50, 33]",0
event,laboratory,1.0,"[80, 62, 45]",25,5,1.5907426367834214,"[92, 50, 33]",0
event,laboratory,1.0,"[80, 62, 45]",33,0,1.8665223870786054,"[94, 46, 50]",0
event,laboratory,1.0,"[80, 62, 45]",33,1,1.8404625771685867,"[96, 46, 49]",0
event,laboratory,1.0,"[80, 62, 45]",33,2,1.798496677746657,"[96, 46, 49]",0
event,laboratory,1.0,"[80, 62, 45]",33,3,1.831851560674668,"[96, 46, 49]",0
event,laboratory,1.0,"[80, 62, 45]",33,4,1.8185396167116794,"[96, 46, 49]",0
event,laboratory,1.0,"[80, 62, 45]",33,5,1.7907803348321538,"[96, 46, 49]",0
event,laboratory,1.0,"[50, 44, 67]",17,0,1.2559801688908065,"[42, 41, 75]",0
event,laboratory,1.0,"[50, 44, 67]",17,1,1.2454819753254678,"[42, 36, 75]",0
event,laboratory,1.0,"[50, 44, 67]",17,2,1.2470164198172935,"[42, 36, 75]",0
event,laboratory,1.0,"[50, 44, 67]",17,3,1.2422572308374873,"[42, 36, 75]",0
event,laboratory,1.0,"[50, 44, 67]",17,4,1.2480480715742637,"[42, 36, 75]",0
event,laboratory,1.0,"[50, 44, 67]",17,5,1.2429790865639427,"[42, 36, 75]",0
event,laboratory,1.0,"[50, 44, 67]",25,0,1.5353630679157362,"[51, 32, 79]",0
event,laboratory,1.0,"[50, 44, 67]",25,1,1.4989924382952884,"[51, 32, 79]",0
event,laboratory,1.0,"[50, 44, 67]",25,2,1.4536679385254387,"[50, 32, 79]",0
event,laboratory,1.0,"[50, 44, 67]",25,3,1.470026839214902,"[51, 32, 79]",0
event,laboratory,1.0,"[50, 44, 67]",25,4,1.4659487235925959,"[50, 32, 79]",0
event,laboratory,1.0,"[50, 44, 67]",25,5,1.433472365370951,"[50, 32, 79]",0
event,laboratory,1.0,"[50, 44, 67]",33,0,1.611741025608463,"[51, 33, 83]",0
event,laboratory,1.0,"[50, 44, 67]",33,1,1.5387176113139451,"[52, 31, 81]",2
event,laboratory,1.0,"[50, 44, 67]",33,2,1.4926326160722505,"[51, 28, 78]",0
event,laboratory,1.0,"[50, 44, 67]",33,3,1.518176962973412,"[51, 28, 78]",0
